nlc,Station,longitude,latitude,EntriesHr,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million
500,Acton Town,51.5025,-0.278126,131.8,9861,7278,5000,9540,6919,4972,6.235045
502,Aldgate,51.5139,-0.07537,120.6,13645,3700,2911,12787,4796,3847,7.52781
503,Aldgate East,51.5151,-0.07178,286.9,20579,15511,12110,19291,12510,9841,12.839311
505,Alperton,51.541,-0.30061,65.3,4945,3476,2550,5089,3540,2569,3.205455
506,Amersham,51.6744,-0.60732,39.3,3680,1759,1169,4054,1985,1132,2.287149
507,Angel,51.5325,-0.10579,408.8,31112,22137,15424,30391,24267,14798,19.756365
508,Archway,51.5654,-0.13474,208.4,16017,11253,7739,14900,9598,7315,9.794439
509,Arnos Grove,51.6163,-0.13355,101.9,7217,5852,4046,6674,5197,3778,4.550587
510,Arsenal,51.5585,-0.10561,70.1,4377,4682,2710,3724,3948,2448,2.802635
511,Baker Street,51.5227,-0.15704,617.9,47234,31530,25035,45041,29563,23384,29.379132
512,Balham,51.4434,-0.152945844,298.8,22536,16888,10766,21872,15523,10562,14.178948
513,Bank,51.5134,-0.08905843,895.7,107093,29506,13878,102041,28498,13001,57.512971
501,Barbican,51.5209,-0.097758,192.3,19757,7755,4786,19369,8025,4774,11.283478
514,Barking,51.5408,0.08018,336.6,26914,18017,11626,24573,15259,10385,16.055212
515,Barkingside,51.5854,0.08854,26.7,2505,1221,764,2208,1178,747,1.406286
516,Barons Court,51.4903,-0.21434,149.2,12462,7438,5166,11231,6120,4933,7.295186
517,Bayswater,51.5122,-0.187569,132.1,7476,8002,6722,7014,7561,5894,5.21959
518,Becontree,51.5403,0.1262,69,5843,3522,2233,5531,3329,2113,3.490288
519,Belsize Park,51.5504,-0.16465,128.9,10638,6357,4654,9131,5704,4276,6.155599
787,Bermondsey,51.4981,-0.0635,219.8,16248,12196,8478,15056,11623,8559,10.163683
520,Bethnal Green,51.5272,-0.05504,372.3,24766,22025,15749,23300,19679,15360,16.164737
521,Blackfriars,51.5114,-0.1041905,244.3,24574,9580,6893,23140,7613,5598,13.702647
522,Blackhorse Road,51.587,-0.04104,182.2,13559,10055,6993,12522,8626,6400,8.360092
524,Bond Street,51.5146,-0.14897,812.5,57022,49636,29840,55707,48422,29479,37.119274
525,Borough,51.501,-0.09446,108,8795,5651,3698,8270,5909,3756,5.358351
526,Boston Manor,51.4954,-0.325573,47.1,3610,2483,1813,3469,2180,1736,2.242854
527,Bounds Green,51.607,-0.12418,142.9,10251,8186,5576,9587,7091,5422,6.4623
528,Bow Road,51.5271,-0.02482,129.8,9952,7011,4848,9214,6080,4859,6.102443
529,Brent Cross,51.5769,-0.21414,55.7,4126,2868,2358,3831,2608,2197,2.566618
778,Brixton,51.4624,-0.115421,681.8,48279,38563,27694,45229,37311,27017,30.830921
530,Bromley-by-Bow,51.5247,-0.01282,73.7,6194,3742,2438,5803,3295,2387,3.68584
531,Buckhurst Hill,51.6261,0.04705,40.6,3499,2164,1151,3302,1859,1120,2.063838
532,Burnt Oak,51.603,-0.26427,89.9,7201,4668,3228,6797,4343,3106,4.383772
534,Caledonian Road,51.5485,-0.11802,134.1,9966,7305,5262,9122,6171,4851,6.126683
535,Camden Town,51.5393,-0.14316,483.7,29308,36786,15173,29686,44291,31556,21.898497
788,Canada Water,51.4979,-0.04967,289.5,18516,17557,12558,18874,17740,12566,12.77743
852,Canary Wharf,51.5036,-0.01987,893.2,93942,32437,23671,96111,34208,25354,54.441424
884,Canning Town,51.5139,0.008876,243.4,17047,13715,10124,16079,12610,9643,10.916031
536,Cannon Street,51.5114,-0.09047,119.3,13998,3864,2177,13143,3172,2103,7.485065
537,Canons Park,51.6081,-0.29487,56.6,4578,2973,1954,4371,2717,1877,2.786006
539,Chalfont & Latimer,51.6682,-0.56053,25,2458,1140,600,2549,931,469,1.437534
540,Chalk Farm,51.5439,-0.15384,155.5,8801,8922,8406,7466,6959,5342,5.752495
541,Chancery Lane,51.5184,-0.11115,249.5,29339,8145,4439,29996,8011,4095,16.355373
718,Charing Cross,51.5071,-0.122963,509.6,34982,32281,18343,28683,21996,11499,20.690327
543,Chesham,51.7052,-0.610986426,17.8,1703,794,493,1236,697,425,0.875261
544,Chigwell,51.618,0.07511,10.5,1107,443,207,836,385,207,0.559061
545,Chiswick Park,51.4947,-0.26866,39.1,3252,1933,1389,3783,1854,1521,2.148469
546,Chorleywood,51.6543,-0.518373353,18.7,1905,767,474,1907,1464,496,1.137678
547,Clapham Common,51.4616,-0.13802,213.4,14541,12625,8682,15777,13370,9113,10.072099
548,Clapham North,51.4652,-0.1295,150.8,9494,9612,6224,11388,9679,6316,7.026138
549,Clapham South,51.4529,-0.147562148,182,13651,10100,6823,13154,8996,6910,8.584904
550,Cockfosters,51.6512,-0.14811,42.4,2812,2634,1679,2676,2375,1688,1.847585
551,Colindale,51.5956,-0.24996,125.9,9835,6856,4466,9083,5705,4129,5.946531
552,Colliers Wood,51.4182,-0.17800983,143.9,10356,8116,5700,9636,7236,5476,6.515664
553,Covent Garden,51.5131,-0.12427,354,16937,25964,16573,22501,27921,15451,14.66925
554,Croxley,51.6473,-0.441479115,18.5,1928,762,416,1766,699,412,1.059406
555,Dagenham East,51.544,0.16439,57.1,4949,3119,1532,4463,2740,1400,2.858892
556,Dagenham Heathway,51.5417,0.14543,119,10028,6085,3872,9732,5772,3745,6.065247
557,Debden,51.6454,0.08364,43.5,4423,1890,1003,4116,1693,960,2.4625
558,Dollis Hill,51.5525,-0.23884,86.3,6462,4596,3433,3163,2037,1746,3.085602
560,Ealing Broadway,51.5148,-0.30118,350,27945,18330,12524,25623,17010,12048,16.840132
561,Ealing Common,51.51,-0.28825,73.5,5467,4121,2764,5490,3948,2742,3.516563
562,Earl's Court,51.4915,-0.193906,468.1,31241,27303,20093,29686,26459,18741,20.501361
563,East Acton,51.5175,-0.24827,84,6387,4457,3271,6241,3888,3180,4.009433
565,East Finchley,51.5873,-0.164956323,150,12207,7910,5078,11408,6842,5106,7.342555
566,East Ham,51.5393,0.0526,320.7,24072,18326,11485,23283,16339,10734,15.094316
